config,bleu1,bleu2,bleu4,rouge_l,bertscore_f1,chexbert_f1,radgraph_f1,n
medgemma_only,0.0007403880913066374,0.0004904571628886133,0.00021381549878458746,0.18557893940581707,0.84308922290802,0.3007777777777778,,50
biomedclip_rag,0.002391358285843853,0.0018286801543582652,0.0011521415845744953,0.2611598505532509,0.8637506365776062,0.35233333333333333,,50
colpali_zs_rag,0.003564059395360086,0.002711024934965788,0.0016415040169971192,0.2599488958442806,0.8650217652320862,0.4287878787878788,,50
