backend,recall_at_1,recall_at_5,recall_at_10,mrr,ndcg_at_10,n,by_k
biomedclip,0.0,0.0,0.02,0.0025,0.006309297535714575,50,"{1: 0.0, 5: 0.0, 10: 0.02}"
colpali_zs,0.0,0.0,0.0,0.0,0.0,50,"{1: 0.0, 5: 0.0, 10: 0.0}"
